Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-170.4797	-233.0726	62.59284	2.296053	1.162777	1.253218
6	-172.1105	-234.1187	62.0082	2.944826	1.336191	1.067726
12	-183.3037	-244.8443	61.54061	3.765016	0.8763152	1.138685
18	-179.0367	-241.8698	62.8331	2.711318	0.5286627	1.322497
24	-181.3709	-243.6913	62.3204	1.823571	1.358432	1.694234
30	-179.4156	-240.5556	61.13999	2.605808	1.166632	2.075228
36	-178.715	-241.6978	62.98274	2.815095	0.6495662	0.931125
42	-180.6435	-242.8952	62.25177	2.663609	0.9298678	1.412733
48	-180.8527	-242.2753	61.42261	3.386852	1.280738	1.234821
54	-181.5895	-243.558	61.96853	3.56351	1.095065	0.4461925
60	-179.1355	-240.4371	61.30163	4.194486	1.095065	0.3685079
66	-187.4567	-249.2886	61.83193	3.711817	1.077485	0.4292957
72	-182.9215	-244.7379	61.81637	3.701633	1.104973	0.4292957
78	-182.3271	-243.8764	61.54929	4.195157	0.7311321	0.2533271
84	-179.0489	-240.2151	61.16622	4.292716	1.041562	0.2862417
90	-181.5999	-242.8549	61.25499	4.292716	1.069821	0.4200001
96	-184.3563	-244.9045	60.54816	4.945139	0.842426	0.2039545
102	-192.2271	-252.1628	59.93574	4.774025	1.974833	0.255708
108	-195.2502	-255.7686	60.51837	4.720302	1.422289	0.3989532
114	-194.8441	-255.7604	60.91626	1.710508	2.027973	2.401545
120	-186.1004	-244.2109	58.11048	3.166807	22.71371	0.430221
126	-181.8081	-241.6369	59.82878	2.399655	12.98599	0.4154614
132	-186.1211	-246.2623	60.14117	2.399655	10.60964	0.3868111
138	-184.7487	-244.9138	60.16503	2.84935	7.219608	0.2733981
144	-192.603	-251.4236	58.82058	2.339855	13.65531	1.574083
150	-181.4415	-244.0075	62.56605	2.496275	1.605524	0.3392908
156	-176.1702	-238.8959	62.72569	2.746358	1.095632	0.3399609
162	-186.3657	-247.7629	61.39729	3.042146	2.849337	0.559442
168	-189.829	-248.1746	58.34554	2.24097	21.42227	1.427044
174	-195.2505	-254.7386	59.48813	2.476358	5.326302	2.019667
180	-190.7545	-251.2694	60.51488	4.948332	1.127543	0.3645223
186	-185.1663	-246.5336	61.36735	3.531867	1.928112	0.6081388
192	-182.2185	-243.6669	61.44845	3.531867	1.771515	0.6488308
198	-178.7793	-240.1704	61.39114	3.531867	1.652714	0.8545598
204	-184.9628	-247.3914	62.42861	3.381813	0.7881439	0.6765239
210	-184.1346	-245.0045	60.86987	2.482687	1.889427	1.984633
216	-181.5419	-244.0136	62.47166	2.36178	0.8534535	1.537733
222	-182.2961	-242.5192	60.22308	2.052854	2.021657	2.622878
228	-173.978	-236.2181	62.24013	2.446444	0.9475904	1.570912
234	-174.1983	-235.8807	61.6824	2.311538	0.6595843	2.272314
240	-175.6698	-237.1431	61.47334	2.2715	0.8623025	2.272314
246	-172.9344	-235.9065	62.97212	2.096696	0.6935956	1.506785
252	-169.038	-231.616	62.57803	2.425516	0.6935956	1.555244
258	-169.1825	-231.1798	61.99724	1.723245	0.763648	2.36127
264	-171.7019	-234.7731	63.07119	3.070613	0.5762085	0.4720942
270	-177.2148	-239.2627	62.0479	3.637587	0.7881702	0.8575113
276	-176.7133	-238.9776	62.26427	3.37999	0.82328	0.8575113
282	-176.6278	-238.5468	61.91904	3.17943	1.617317	0.6123177
288	-177.9273	-240.138	62.21076	3.17943	1.254854	0.5590343
294	-174.8319	-236.3471	61.51519	3.846843	1.288639	0.5590343
300	-181.807	-242.9144	61.10744	4.079922	1.427055	0.3341233
306	-177.5646	-238.4112	60.84663	2.292789	4.170976	1.428788
312	-178.8999	-239.6251	60.72511	2.161094	1.494947	2.456815
318	-182.7404	-243.6184	60.87799	1.803093	2.421264	2.231389
324	-182.1464	-241.9819	59.83553	1.644335	12.98037	1.396139
330	-177.7625	-237.9122	60.14962	2.776923	6.311681	1.123017
336	-179.3065	-241.3982	62.09163	2.505427	1.746073	1.123017
342	-180.709	-241.0464	60.3374	3.318332	4.302757	0.94024
348	-185.3699	-243.9741	58.60427	3.4784	10.80856	1.142707
354	-182.1512	-242.0792	59.92797	1.494637	5.594514	2.326289
360	-174.2579	-237.4623	63.20448	1.909529	0.9171424	1.264913
366	-178.0234	-238.4663	60.4429	2.004656	1.772476	2.611071
372	-181.7274	-241.701	59.97354	1.455382	1.719802	3.246482
378	-180.8224	-242.5792	61.75684	2.655838	0.6198984	2.035469
384	-181.3604	-239.6313	58.27084	1.464525	1.309108	4.394974
390	-187.2862	-246.2851	58.99891	1.529244	2.040016	3.657729
396	-181.1224	-242.3845	61.26211	2.927019	3.432599	0.4121003
402	-187.7514	-246.5794	58.82795	2.887193	4.360302	2.362027
408	-182.232	-241.1573	58.92534	1.724744	11.57062	2.111328
414	-186.5645	-245.3383	58.7738	4.1172	4.658585	1.502301
420	-177.3951	-240.4352	63.04002	2.403289	1.120143	0.7140411
426	-177.4276	-241.0862	63.65855	2.403289	0.6217941	0.5923287
432	-179.0244	-242.3917	63.36727	2.950595	0.4444464	0.3701693
438	-179.0008	-242.2747	63.27385	2.69257	0.6909752	0.4151449
444	-176.7784	-240.1262	63.34776	2.433759	0.8557795	0.4747619
